ID;Name;Country
VND-001;SCMS from RDC;Zambia
VND-002;SCMS from RDC;Ethiopia
VND-003;PHARMACY DIRECT;South Africa
VND-004;SCMS from RDC;Nigeria
VND-005;Orgenics, Ltd;Mozambique
VND-006;SCMS from RDC;Tanzania
VND-007;Standard Diagnostics, Inc.;Côte d'Ivoire
VND-008;SCMS from RDC;Mozambique
VND-009;SCMS from RDC;Rwanda
VND-010;SCMS from RDC;Zimbabwe
VND-011;SCMS from RDC;Dominican Republic
VND-012;S. BUYS WHOLESALER;South Africa
VND-013;Aurobindo Pharma Limited;Vietnam
VND-014;Aurobindo Pharma Limited;South Africa
VND-015;Orgenics, Ltd;Nigeria
VND-016;SCMS from RDC;Côte d'Ivoire
VND-017;Aurobindo Pharma Limited;Rwanda
VND-018;HETERO LABS LIMITED;Rwanda
VND-019;MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES);Tanzania
VND-020;SCMS from RDC;Haiti
VND-021;SCMS from RDC;Kenya
VND-022;Orgenics, Ltd;Guyana
VND-023;HETERO LABS LIMITED;Vietnam
VND-024;MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.);Uganda
VND-025;Trinity Biotech, Plc;South Sudan
VND-026;BIO-RAD LABORATORIES (FRANCE);Côte d'Ivoire
VND-027;CHEMBIO DIAGNOSTIC SYSTEMS, INC.;Côte d'Ivoire
VND-028;Aurobindo Pharma Limited;Haiti
VND-029;Trinity Biotech, Plc;Zambia
VND-030;JSI R&T INSTITUTE, INC.;South Africa
VND-031;SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED);Vietnam
VND-032;SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB);Haiti
VND-033;ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV);Uganda
VND-034;Trinity Biotech, Plc;Guyana
VND-035;CHEMBIO DIAGNOSTIC SYSTEMS, INC.;Ethiopia
VND-036;Standard Diagnostics, Inc.;Liberia
VND-037;Hoffmann-La Roche ltd Basel;Uganda
VND-038;STRIDES ARCOLAB LIMITED;Vietnam
VND-039;ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV);Vietnam
VND-040;STRIDES ARCOLAB LIMITED;South Africa
VND-041;SCMS from RDC;Uganda
VND-042;SCMS from RDC;Congo, DRC
VND-043;HETERO LABS LIMITED;Haiti
VND-044;Trinity Biotech, Plc;Rwanda
VND-045;Orgenics, Ltd;Mali
VND-046;MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.);Haiti
VND-047;ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV);Zimbabwe
VND-048;SCMS from RDC;Guyana
VND-049;Aurobindo Pharma Limited;Tanzania
VND-050;Orgenics, Ltd;Tanzania
VND-051;BRISTOL-MYERS SQUIBB;Côte d'Ivoire
VND-052;ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV);Côte d'Ivoire
VND-053;Orgenics, Ltd;South Sudan
VND-054;CIPLA LIMITED;Rwanda
VND-055;CHEMBIO DIAGNOSTIC SYSTEMS, INC.;Burundi
VND-056;Trinity Biotech, Plc;Kenya
VND-057;Orgenics, Ltd;Kenya
VND-058;SCMS from RDC;Burundi
VND-059;Orgenics, Ltd;Sudan
VND-060;CIPLA LIMITED;Vietnam
VND-061;BIO-RAD LABORATORIES (FRANCE);Uganda
VND-062;AMSTELFARMA B.V.;Congo, DRC
VND-063;GLAXOSMITHKLINE EXPORT LIMITED;South Africa
VND-064;ASPEN PHARMACARE;Uganda
VND-065;MICRO LABS LIMITED;Uganda
VND-066;CIPLA LIMITED;South Africa
VND-067;REINBOLD EXPORT IMPORT;Haiti
VND-068;SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB);Rwanda
VND-069;SCMS from RDC;Cameroon
VND-070;MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES);Côte d'Ivoire
VND-071;SCMS from RDC;Ghana
VND-072;BRISTOL-MYERS SQUIBB;Haiti
VND-073;SCMS from RDC;Namibia
VND-074;Trinity Biotech, Plc;Tanzania
VND-075;JANSSEN SCIENCES IRELAND UC (FORMERLY JANSSEN R&D IRELAND);Haiti
VND-076;STRIDES ARCOLAB LIMITED;Uganda
VND-077;LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB);Côte d'Ivoire
VND-078;MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES);Rwanda
VND-079;ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV);Haiti
VND-080;Orgenics, Ltd;Zambia
VND-081;BRISTOL-MYERS SQUIBB;Vietnam
VND-082;STRIDES ARCOLAB LIMITED;Ghana
VND-083;BRISTOL-MYERS SQUIBB;Uganda
VND-084;SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB);Ethiopia
VND-085;EMCURE PHARMACEUTICALS LTD;Uganda
VND-086;Orgenics, Ltd;Zimbabwe
VND-087;MICRO LABS LIMITED;Haiti
VND-088;Trinity Biotech, Plc;Nigeria
VND-089;Trinity Biotech, Plc;Mozambique
VND-090;MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES);Zimbabwe
VND-091;MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.);Mozambique
VND-092;Aurobindo Pharma Limited;Zimbabwe
VND-093;SCMS from RDC;Swaziland
VND-094;LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB);Haiti
VND-095;ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV);Zambia
VND-096;ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.);Dominican Republic
VND-097;MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES);Vietnam
VND-098;Orgenics, Ltd;Haiti
VND-099;EMCURE PHARMACEUTICALS LTD;Tanzania
VND-100;EMCURE PHARMACEUTICALS LTD;South Africa
VND-101;Orgenics, Ltd;Cameroon
VND-102;SCMS from RDC;South Sudan
VND-103;Orasure Technologies Inc.;Botswana
VND-104;Standard Diagnostics, Inc.;Tanzania
VND-105;Trinity Biotech, Plc;Ethiopia
VND-106;SCMS from RDC;Pakistan
VND-107;Orgenics, Ltd;Botswana
VND-108;Aurobindo Pharma Limited;Congo, DRC
VND-109;Orgenics, Ltd;Rwanda
VND-110;SCMS from RDC;Benin
VND-111;ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV);Tanzania
VND-112;CIPLA LIMITED;Nigeria
VND-113;Orgenics, Ltd;Burundi
